DEP,ARR,AC,TYPE,FT,DIS,DET,ART,CAP,DEL,COST,DEM,TIC,Flight
IAD,AMS,12,321,563,6641,3246,3809,197,0,41481,144,440,972
AMS,AGP,12,73H,341,3770,3753,4096,162,0,25608,157,437,1197
AGP,AMS,12,73H,362,3770,4171,4512,162,0,25608,145,400,1291
ATL,CHS,13,320,540,6206,1235,1775,151,0,34994,110,470,333
CHS,ATL,13,320,540,6206,1859,2388,151,0,34994,129,578,558
ATL,PWM,13,320,375,3942,2533,2908,151,0,25569,58,362,797
PWM,ATL,13,320,375,3942,3001,3541,151,0,25569,133,482,982
ATL,CHS,13,320,529,6206,3573,4102,151,0,34994,124,559,1154
CHS,ATL,13,320,529,6206,4232,4607,151,0,34994,120,478,1305
CDG,MPL,14,318,1041,13225,666,1707,112,0,57296,85,977,137
MPL,CDG,14,318,1041,13225,1743,2772,112,0,57296,66,750,524
CDG,MPL,14,318,1029,13225,2822,3863,112,0,57296,97,1102,920
MPL,CDG,14,318,1029,13225,3965,4994,112,0,57296,90,1025,1250
CDG,VRN,15,318,366,4102,526,1480,112,16,23408,29,744,86
VRN,CDG,15,318,366,4102,1527,1893,112,0,23408,104,543,438
CDG,FRA,15,318,954,11946,2054,3008,112,0,52545,64,664,631
FRA,CDG,15,318,954,11946,3126,3492,112,0,52545,69,715,1011
MEX,SAP,16,E70,701,8651,675,1376,70,21,35065,44,2358,144
SAP,MEX,16,E70,701,8651,1419,2120,70,0,35065,78,1153,400
CMN,FRA,17,73G,633,7486,1069,1702,149,0,40100,85,1357,254
FRA,CMN,17,73G,633,7486,2147,2780,149,0,40100,90,445,670
SAP,SJO,18,ATR,384,4398,1257,1641,48,0,19652,34,799,344
SJO,SAP,18,ATR,384,4398,2010,2394,48,0,19652,37,1002,611
GVA,HEL,19,E90,667,8121,451,1118,100,0,36913,80,711,48
HEL,GVA,19,E90,667,8121,1258,1719,100,0,36913,63,620,346
GVA,LUG,19,E90,461,5383,1955,2622,100,228,27120,70,511,590
LUG,GVA,19,E90,461,5383,2831,3292,100,0,27120,29,1024,922
ACC,FCO,20,330,541,6232,787,1328,277,0,47320,233,477,172
FCO,ACC,20,330,541,6232,2014,2531,277,0,47320,249,457,565
ACC,FCO,20,330,517,6232,2447,2988,277,0,47320,87,599,769
FCO,ACC,20,330,517,6232,3223,3740,277,0,47320,209,349,1031
BEG,MXP,21,E95,217,2336,440,1085,106,0,16535,57,306,44
MXP,BEG,21,E95,217,2336,1676,1893,106,0,16535,84,408,498
BEG,MUC,21,E95,645,7915,2310,2955,106,0,36874,71,619,727
MUC,BEG,21,E95,645,7915,2986,3203,106,0,36874,26,1137,976
FCO,SKP,22,E75,1064,13629,749,1813,80,0,52971,63,1234,161
SKP,FCO,22,E75,1064,13629,2408,3472,80,0,52971,17,2144,758
AUS,SFO,23,717,674,8223,465,1130,106,0,37997,100,820,57
SFO,AUS,23,717,674,8223,1169,1843,106,0,37997,98,864,289
AUS,DTW,23,717,665,8051,2117,2782,106,0,37370,92,733,583
DTW,AUS,23,717,665,8051,2835,3509,106,0,37370,86,703,924
BOS,DFW,24,738,578,6876,1279,1857,189,0,41749,151,459,348
DFW,BOS,24,738,578,6876,2514,3092,189,0,41749,153,465,788
BOS,MCO,24,320,656,7659,3557,4206,151,0,41043,65,564,1146
MCO,BOS,24,320,656,7659,4250,4906,151,0,41043,146,724,1311
MCO,IAH,25,320,355,3670,946,1281,151,0,24436,33,284,206
IAH,MCO,25,320,335,3670,1348,1703,151,0,24436,123,411,379
MCO,IAH,25,320,355,3670,2631,2986,151,0,24436,126,443,830
IAH,MCO,25,320,363,3670,3105,3440,151,0,24436,108,325,1008
MCO,YYZ,25,737,386,4428,3488,3902,124,0,25534,93,431,1120
YYZ,MCO,25,737,386,4428,3990,4376,124,0,25534,106,526,1252
EDI,LCY,26,E90,636,7532,821,1457,100,0,34806,89,786,179
LCY,EDI,26,E90,636,7532,1738,2374,100,0,34806,43,727,522
AGP,IST,27,738,556,6364,617,1173,189,0,39394,88,970,123
IST,AGP,27,738,556,6364,1280,1815,189,26,39394,142,452,349
AGP,IST,27,738,535,6364,1921,2466,189,0,39394,121,351,584
IST,AGP,27,738,535,6364,2588,3144,189,0,39394,175,576,816
AGP,IST,27,738,545,6364,3185,3720,189,0,39394,173,526,1022
IST,AGP,27,738,545,6364,3788,4333,189,0,39394,128,390,1209
HKT,PEK,28,738,134,1374,1238,1372,189,23,16440,126,179,335
PEK,HKT,28,738,134,1374,1454,1581,189,0,16440,175,324,412
HKT,PEK,28,738,127,1374,1827,1961,189,0,16440,121,169,541
PEK,HKT,28,738,127,1374,2178,2305,189,0,16440,161,241,684
PEK,WNZ,29,738,595,7137,739,1334,189,7,42950,130,408,159
WNZ,PEK,29,738,595,7137,1856,2451,189,0,42950,162,537,556
RTB,SAP,30,SF3,741,9016,400,1141,36,0,31859,12,1388,30
SAP,RTB,30,SF3,741,9016,1327,2068,36,13,31859,13,1364,371
HKG,MAA,31,333,708,8323,374,1082,300,0,61838,254,489,9
MAA,HKG,31,333,708,8323,1176,1884,300,0,61838,260,543,297
MAN,MCO,32,330,602,7211,1216,1818,277,0,52814,225,475,317
MCO,MAN,32,330,602,7211,1918,2482,277,0,52814,213,449,580
MAN,RZE,32,330,564,6667,2520,3122,277,0,49761,206,405,791
RZE,MAN,32,330,564,6667,3239,3803,277,0,49761,100,730,1038
CVG,XNA,33,CRJ,484,5453,488,1258,50,0,22970,26,977,69
XNA,CVG,33,CRJ,484,5453,1523,2007,50,0,22970,40,913,437
CVG,EWR,33,CRJ,770,9378,2172,2942,50,0,34751,39,1357,682
EWR,CVG,33,CRJ,770,9378,3187,3671,50,1,34751,53,1526,1023
JAX,LGA,34,73W,769,9310,422,1193,149,0,47651,90,519,37
LGA,JAX,34,73W,769,9310,1233,2004,149,0,47651,99,584,332
JAX,BWI,34,73W,771,9536,2148,2917,149,0,48587,91,1686,672
BWI,JAX,34,73W,771,9536,3027,3796,149,0,48587,50,1196,990
MSP,YYZ,35,CRA,718,8606,2419,3131,70,28,34919,58,1014,761
YYZ,MSP,35,CRA,718,8606,3249,3967,70,0,34919,74,1161,1040
DXB,YYZ,36,388,613,7232,778,1391,555,0,83086,275,764,170
YYZ,DXB,36,388,613,7232,1709,2322,555,0,83086,437,389,511
AUS,IAH,37,320,566,6878,789,1355,151,0,37791,143,641,173
IAH,AUS,37,320,582,6878,1387,1969,151,0,37791,110,496,389
AUS,SAN,37,73W,100,789,2032,2447,149,22,12374,73,440,623
SAN,AUS,37,73W,100,789,2517,2617,149,0,12374,95,180,790
AUS,MCO,37,E90,764,9188,2864,3636,100,0,40729,53,658,934
MCO,AUS,37,E90,764,9188,3732,4496,100,0,40729,58,676,1193
BWI,PWM,38,DH3,284,2979,387,1189,50,0,15544,69,782,20
PWM,BWI,38,DH3,284,2979,1353,1637,50,0,15544,41,615,381
BWI,EWR,38,DH3,802,9835,1867,2669,50,0,36123,32,1605,566
EWR,BWI,38,DH3,802,9835,2770,3054,50,0,36123,52,1519,902
CHS,MDW,39,ERJ,654,7904,1139,1445,37,0,28816,17,1302,275
MDW,CHS,39,ERJ,654,7904,1823,2477,37,0,28816,29,1768,429
CHS,IAD,39,CRJ,459,5428,2646,3128,50,0,22895,8,782,834
IAD,CHS,39,CRJ,459,5428,3265,3755,50,0,22895,67,1123,1044
ISP,MCO,40,73W,311,2978,766,1077,149,286,21436,128,394,167
MCO,ISP,40,73W,311,2978,1680,1991,149,0,21436,136,418,499
BHX,EWR,41,752,333,3689,651,984,200,0,27834,174,409,134
EWR,BHX,41,752,333,3689,1128,1485,200,0,27834,114,791,271
BHX,EWR,41,752,357,3689,1540,1905,200,0,27834,155,353,441
EWR,BHX,41,752,357,3689,1963,2329,200,0,27834,177,403,597
BHX,EWR,41,752,365,3689,2379,2726,200,0,27834,154,351,747
EWR,BHX,41,752,365,3689,2766,3099,200,0,27834,70,331,899
BHX,EWR,41,752,366,3689,3168,3525,200,0,27834,165,364,1020
EWR,BHX,41,752,366,3689,3565,3930,200,0,27834,151,286,1152
BHX,EWR,41,752,347,3689,3995,4361,200,0,27834,131,314,1254
EWR,BHX,41,752,347,3689,4503,4850,200,0,27834,179,420,1347
BHX,IST,42,739,598,7005,1843,2427,178,0,41178,156,539,549
IST,BHX,42,739,598,7005,2560,3153,178,0,41178,163,559,804
BHX,IST,42,739,584,7005,3277,3875,178,0,41178,138,518,1050
IST,BHX,42,739,584,7005,4002,4586,178,0,41178,128,451,1256
DUB,RZE,43,738,611,7170,1320,1931,189,0,43102,134,452,367
RZE,DUB,43,738,611,7170,2187,2777,189,0,43102,126,386,689
DUB,RZE,43,738,590,7170,2907,3518,189,0,43102,153,510,955
RZE,DUB,43,738,590,7170,3722,4312,189,0,43102,159,534,1189
LBA,MPL,44,738,585,7072,821,1406,189,0,42651,179,612,180
MPL,LBA,44,738,585,7072,1566,2150,189,0,42651,140,430,451
LBA,MPL,44,738,584,7072,2180,2765,189,339,42651,137,486,685
MPL,LBA,44,738,584,7072,2799,3383,189,0,42651,125,433,912
RYG,RZE,45,738,606,7312,577,1183,189,0,43755,178,618,109
RZE,RYG,45,738,606,7312,1354,1982,189,0,43755,90,543,382
RYG,RZE,45,738,628,7312,2114,2720,189,0,43755,131,424,658
RZE,RYG,45,738,628,7312,2776,3404,189,0,43755,136,437,904
AGP,RTM,46,73H,849,10348,752,1601,162,0,53824,142,733,163
RTM,AGP,46,73H,849,10348,1709,2548,162,0,53824,116,568,512
AGP,RTM,46,73H,839,10348,2592,3441,162,0,53824,82,1525,817
RTM,AGP,46,73H,839,10348,3560,4399,162,0,53824,136,682,1148
FUE,VRN,47,320,570,6665,913,1483,151,0,36904,105,491,200
VRN,FUE,47,320,570,6665,1636,2219,151,0,36904,136,646,481
FUE,VRN,47,320,583,6665,2453,3023,151,8,36904,97,390,773
VRN,FUE,47,320,583,6665,3231,3814,151,0,36904,93,411,1036
BVA,RZE,48,DH4,1037,12889,422,1459,68,1,48413,38,1473,38
RZE,BVA,48,DH4,1037,12889,1584,2626,68,0,48413,30,1024,457
BVA,RZE,48,DH4,1042,12889,2758,3795,68,0,48413,52,1358,894
RZE,BVA,48,DH4,1042,12889,3937,4979,68,0,48413,50,1280,1245
ALA,PEK,49,738,801,9980,1230,2031,189,0,56028,162,710,327
PEK,ALA,49,738,801,9980,2063,2893,189,0,56028,126,522,636
KWI,MAA,50,310,873,11116,844,1717,206,159,63856,144,543,185
MAA,KWI,50,310,873,11116,2153,3026,206,0,63856,173,737,674
BEY,RUH,51,32A,557,6311,590,1248,151,353,35431,125,514,115
RUH,BEY,51,32A,557,6311,1514,2071,151,0,35431,65,1023,434
BEY,FRA,51,32A,658,8004,2243,2901,151,27,42479,129,604,707
FRA,BEY,51,32A,658,8004,3101,3658,151,0,42479,123,623,1007
YQB,YTZ,52,DH4,974,12469,388,1362,68,0,47065,21,2436,21
YTZ,YQB,52,DH4,974,12469,1427,2399,68,0,47065,48,3422,403
YQB,YTZ,52,DH4,972,12469,2441,3415,68,0,47065,28,1027,767
YTZ,YQB,52,DH4,972,12469,3476,4448,68,0,47065,25,951,1111
BGW,DOH,53,320,326,3587,1198,1524,151,0,24091,131,373,309
DOH,BGW,53,320,347,3587,3312,3659,151,4,24091,45,381,1063
DOH,FCO,54,333,617,7528,675,1292,300,0,57166,88,399,143
FCO,DOH,54,333,617,7528,1369,2006,300,0,57166,224,420,384
DOH,IST,54,333,409,4316,2100,2509,300,0,38291,233,271,652
IST,DOH,54,333,409,4316,2759,3483,300,20,38291,218,290,895
BRU,EDI,55,319,905,11201,1041,1946,123,0,51473,116,956,235
EDI,BRU,55,319,905,11201,2020,2790,123,0,51473,79,654,617
BRU,FRA,55,319,770,9599,2881,3786,123,0,45319,116,903,942
FRA,BRU,55,319,770,9599,3872,4642,123,0,45319,43,1349,1232
IST,SVO,56,739,757,9340,1005,1780,178,0,51624,158,699,226
SVO,IST,56,739,757,9340,1837,2594,178,0,51624,168,793,546
IST,NSI,56,739,775,9430,2651,3426,178,0,52026,65,632,837
NSI,IST,56,739,775,9430,3563,4320,178,0,52026,157,738,1150
MBA,IST,57,739,370,4084,915,1285,178,0,28111,166,486,201
IST,MBA,57,739,370,4084,1654,2043,178,0,28111,161,452,488
MBA,IST,57,739,389,4084,2403,2773,178,0,28111,166,423,756
IST,MBA,57,739,389,4084,3442,3831,178,0,28111,113,303,1100
ATH,YYZ,58,330,797,9553,865,1662,277,0,65957,71,726,190
YYZ,ATH,58,330,797,9553,2039,2836,277,0,65957,248,597,625
BFS,BHX,59,319,724,8652,832,1556,123,0,41682,53,1443,182
BHX,BFS,59,319,724,8652,1816,2512,123,0,41682,95,702,539
BFS,BHX,59,319,696,8652,2731,3455,123,0,41682,88,622,878
BHX,BFS,59,319,696,8652,3709,4405,123,0,41682,113,785,1185
GVA,MAN,60,319,581,6631,744,1325,123,0,33919,115,689,160
MAN,GVA,60,319,581,6631,1475,2111,123,0,33919,98,615,419
GVA,SPU,60,319,636,7575,2167,2748,123,0,37545,101,697,678
SPU,GVA,60,319,636,7575,2967,3603,123,13,37545,121,746,973
AUA,IAD,61,753,441,5024,992,1628,243,0,37716,171,290,220
IAD,AUA,61,753,441,5024,2285,2726,243,27,37716,210,437,722
AUA,EWR,61,753,636,7498,3014,3650,243,0,50633,170,417,986
EWR,AUA,61,753,636,7498,4038,4479,243,0,50633,206,557,1262
DEN,XNA,62,738,894,11246,1069,1570,189,0,61851,170,808,255
XNA,DEN,62,738,894,11246,1993,2887,189,0,61851,126,489,536
DEN,EWR,62,738,501,5610,2877,3378,189,0,35926,180,564,939
EWR,DEN,62,738,501,5610,3544,4438,189,0,35926,143,438,1141
ELP,IAH,63,ERJ,563,6802,677,1240,37,0,25673,35,1688,146
IAH,ELP,63,ERJ,563,6802,1946,2509,37,0,25673,26,3130,592
IAH,PSP,64,CR7,523,6042,584,1107,70,0,26634,31,641,112
PSP,IAH,64,CR7,523,6042,1370,1893,70,0,26634,59,805,385
MAA,RUN,65,738,880,10851,1043,1923,189,29,60034,175,806,237
RUN,MAA,65,738,880,10851,2616,3496,189,0,60034,150,677,824
FLL,JAX,66,73W,518,6251,1186,1704,149,0,34987,117,521,301
JAX,FLL,66,73W,518,6251,2107,2625,149,0,34987,96,374,655
LXR,RUH,67,320,916,11633,519,1435,151,29,57586,129,823,82
RUH,LXR,67,320,916,11633,1560,2498,151,0,57586,125,790,449
LXR,RUH,67,320,938,11633,2615,3531,151,3,57586,51,1372,823
RUH,LXR,67,320,938,11633,3665,4603,151,215,57586,142,905,1177
EWR,PWM,68,DH4,752,9194,1191,1943,68,0,36557,42,890,308
PWM,EWR,68,DH4,752,9194,2085,2830,68,0,36557,41,924,649
EWR,PWM,68,DH4,745,9194,2884,3636,68,0,36557,50,1321,943
PWM,EWR,68,DH4,745,9194,3689,4434,68,0,36557,78,1296,1180
EWR,SAN,69,739,857,10853,1256,2113,178,0,58392,117,497,343
SAN,EWR,69,739,857,10853,2190,3054,178,0,58392,103,800,691
EWR,MEX,69,73G,526,6126,3476,4002,149,0,34469,98,434,1113
MEX,EWR,69,73G,526,6126,4182,4729,149,0,34469,127,524,1293
FRA,IBZ,70,320,576,6617,472,1048,151,0,36705,144,610,63
IBZ,FRA,70,320,576,6617,1079,1649,151,0,36705,107,490,256
FRA,BHX,70,319,268,2847,1707,1991,123,3,19385,71,395,510
BHX,FRA,70,319,289,2847,2074,2348,123,0,19385,116,440,645
FRA,GVA,70,E90,559,6523,3307,3867,100,0,31197,53,529,1058
GVA,FRA,70,E90,559,6523,3909,4468,100,0,31197,109,863,1240
FRA,MAD,71,77W,554,6733,1095,1607,396,0,62356,291,313,265
MAD,FRA,71,77W,554,6733,1733,2287,396,0,62356,216,913,517
FRA,HKG,71,77W,512,5663,2317,2874,396,0,54887,318,393,730
HKG,FRA,71,77W,512,5663,2922,3434,396,0,54887,335,404,958
FRA,MAD,71,77W,557,6733,3465,4019,396,0,62356,296,334,1108
MAD,FRA,71,77W,557,6733,4101,4658,396,0,62356,196,817,1271
ATL,EWR,72,717,404,4614,1043,1447,106,0,24840,56,1147,238
EWR,ATL,72,717,404,4614,2148,2552,106,26,24840,79,522,671
CMN,IST,73,738,829,10282,2437,3287,189,0,57417,106,813,766
IST,CMN,73,738,829,10282,3369,4198,189,0,57417,127,470,1077
EWR,SJU,74,739,849,10303,606,1461,178,0,55932,161,796,119
SJU,EWR,74,739,849,10303,1558,2407,178,0,55932,44,963,448
EWR,PTY,74,739,855,10433,2491,3346,178,0,56513,135,647,783
PTY,EWR,74,739,855,10433,3450,4299,178,0,56513,97,1577,1104
MUC,FRA,75,320,700,8437,543,1243,151,0,44281,58,600,97
FRA,MUC,75,320,700,8437,1395,2095,151,0,44281,107,522,391
FRA,MBA,76,757,700,8328,2026,2472,200,0,49760,84,1105,620
MBA,FRA,76,757,700,8328,2756,3456,200,0,49760,186,678,809
FRA,IST,76,321,501,5830,3502,4008,197,0,37676,181,565,1127
IST,FRA,76,321,501,5830,4116,4617,197,0,37676,136,399,1275
DTW,EWR,77,717,593,6971,1243,1836,106,0,33432,26,607,340
EWR,DTW,77,717,593,6971,2475,3068,106,249,33432,62,541,779
EWR,MSP,78,73W,749,9273,557,1241,149,0,47498,67,1340,105
MSP,EWR,78,73W,749,9273,1484,2233,149,0,47498,129,680,422
EWR,FLL,78,320,967,12038,2378,3345,151,26,59272,132,897,746
FLL,EWR,78,320,967,12038,3413,3901,151,14,59272,128,851,1090
DUB,FRA,79,320,479,5717,503,982,151,0,32958,137,587,72
FRA,DUB,79,320,479,5717,1620,2100,151,0,32958,141,586,476
DUB,FRA,79,320,480,5717,2330,2809,151,0,32958,124,532,733
FRA,DUB,79,320,480,5717,2962,3442,151,0,32958,53,486,970
FRA,MXP,80,320,680,7982,546,1226,151,0,42387,92,462,100
MXP,FRA,80,320,680,7982,1325,1985,151,0,42387,128,636,370
FRA,STR,80,319,657,7961,3374,4018,123,0,39028,119,740,1078
STR,FRA,80,319,657,7961,4084,4741,123,0,39028,118,803,1269
FRA,PEK,81,773,1039,12953,651,1690,368,0,100896,190,691,133
PEK,FRA,81,773,1039,12953,1745,2788,368,0,100896,277,523,525
FRA,PEK,81,773,1043,12953,2860,3899,368,0,100896,289,572,932
PEK,FRA,81,773,1043,12953,3955,4998,368,0,100896,192,737,1249
EWR,IAH,82,739,889,11119,812,1701,178,0,59582,116,551,176
IAH,EWR,82,739,889,11119,1733,2628,178,0,59582,119,523,518
EWR,IAH,82,739,895,11119,2658,3547,178,0,59582,105,844,839
IAH,EWR,82,739,895,11119,3634,4529,178,0,59582,169,833,1170
FAO,FRA,83,32A,205,2108,507,780,151,0,17934,149,343,77
FRA,FAO,83,32A,205,2108,1230,1435,151,0,17934,110,264,328
EWR,ORD,84,E75,760,9205,1051,1811,80,0,38166,91,1197,242
ORD,EWR,84,E75,760,9205,1953,2705,80,0,38166,92,1193,594
EWR,SAN,84,739,864,10853,3095,3952,178,0,58392,129,596,1006
SAN,EWR,84,739,864,10853,4050,4914,178,0,58392,89,780,1264
FRA,BHX,85,319,275,2847,889,1157,123,0,19385,124,473,196
BHX,FRA,85,319,268,2847,1290,1579,123,0,19385,94,334,353
FRA,LCY,85,320,938,12001,1680,2618,151,226,59118,87,1926,500
LCY,FRA,85,320,938,12001,2739,3315,151,0,59118,128,831,884
FRA,IBZ,85,320,570,6617,3398,3968,151,0,36705,102,406,1085
IBZ,FRA,85,320,570,6617,4084,5022,151,0,36705,112,506,1268
BZE,EWR,86,738,953,11870,458,1411,189,15,64722,131,614,49
EWR,BZE,86,738,953,11870,1447,2406,189,0,64722,123,552,409
BZE,EWR,86,738,959,11870,2451,3404,189,0,64722,137,626,771
EWR,BZE,86,738,959,11870,3523,4482,189,0,64722,126,562,1135
CLE,EWR,87,738,813,10228,983,1796,189,0,57168,148,608,218
EWR,CLE,87,738,813,10228,2397,3210,189,0,57168,143,550,752
DCA,EWR,88,DH4,579,6673,1240,1819,68,7,28469,65,951,338
EWR,DCA,88,DH4,579,6673,1850,2429,68,0,28469,72,945,553
EWR,SAP,89,738,811,10258,883,1694,189,0,57306,149,607,195
SAP,EWR,89,738,811,10258,1741,2561,189,0,57306,159,674,523
EWR,SAP,89,738,820,10258,2605,3416,189,0,57306,83,1276,820
SAP,EWR,89,738,820,10258,3553,4373,189,0,57306,160,658,1145
EWR,SFO,90,739,640,7720,396,1036,178,0,44377,124,429,27
SFO,EWR,90,739,640,7720,1225,1886,178,0,44377,141,505,326
EWR,SFO,90,739,661,7720,1924,2564,178,0,44377,134,464,586
SFO,EWR,90,739,661,7720,2826,3487,178,0,44377,157,568,921
EWR,GVA,90,763,713,8506,3558,4249,218,0,52818,178,531,1147
GVA,EWR,90,763,713,8506,4301,5014,218,0,52818,171,519,1319
EWR,SJO,91,738,752,9153,458,1210,189,0,52223,136,520,51
SJO,EWR,91,738,752,9153,1258,1991,189,0,52223,174,680,345
EWR,SJO,91,738,733,9153,2068,2820,189,5,52223,153,576,641
SJO,EWR,91,738,733,9153,2929,3662,189,0,52223,148,535,959
EWR,YOW,92,ERJ,539,6097,490,1029,37,0,23663,14,1068,70
YOW,EWR,92,ERJ,539,6097,1462,2001,37,0,23663,22,1157,416
FCO,STR,93,319,695,8401,511,1206,123,0,40718,87,646,78
STR,FCO,93,319,695,8401,1289,1707,123,0,40718,88,581,351
FCO,YYZ,93,319,418,4763,2014,2709,123,0,26744,121,607,555
YYZ,FCO,93,319,418,4763,2741,3159,123,0,26744,109,504,886
BOS,PLS,94,320,520,6258,1062,1582,151,0,35210,140,590,251
PLS,BOS,94,320,520,6258,1757,2279,151,0,35210,101,398,526
BOS,IAH,94,739,1019,12660,2626,3643,178,0,66476,164,941,828
IAH,BOS,94,739,1019,12660,3701,4720,178,0,66476,64,1381,1182
MCO,YYZ,95,737,416,4428,946,1362,124,0,25534,113,549,205
YYZ,MCO,95,737,416,4428,2016,2408,124,0,25534,76,412,615
MCO,YYZ,95,737,414,4428,2446,2847,124,0,25534,68,1062,768
YYZ,MCO,95,737,414,4428,2965,3373,124,0,25534,39,810,971
MCO,IAH,95,320,363,3670,3487,3842,151,0,24436,93,267,1119
IAH,MCO,95,320,353,3670,3941,4304,151,0,24436,85,870,1246
IAD,YYZ,96,320,475,5475,463,1217,151,0,31951,149,599,55
YYZ,IAD,96,320,475,5475,1330,1805,151,0,31951,105,423,372
IAD,MCO,96,320,700,8534,1918,2606,151,0,44685,97,511,581
MCO,IAD,96,320,700,8534,2724,3437,151,0,44685,129,648,873
IAD,MCO,96,320,688,8534,3499,4199,151,0,44685,112,606,1124
MCO,IAD,96,320,688,8534,4330,5018,151,0,44685,60,1222,1327
IAH,YYZ,97,320,621,7409,869,1232,151,0,40002,107,523,191
YYZ,IAH,97,320,621,7409,1734,2355,151,0,40002,144,699,519
IAH,MCO,97,320,363,3670,2483,2846,151,0,24436,122,428,781
MCO,IAH,97,320,363,3670,3028,3649,151,24,24436,149,448,991
YQB,YYZ,98,DH4,661,7972,1220,1881,68,0,32636,48,867,323
YYZ,YQB,98,DH4,661,7972,2248,2909,68,0,32636,46,2291,708
AMS,FCO,99,321,128,1384,1135,1263,197,0,16816,129,211,274
FCO,AMS,99,321,123,1384,1380,1943,197,0,16816,167,289,387
AMS,FCO,99,321,159,1384,2131,2257,197,0,16816,100,314,664
FCO,AMS,99,321,159,1384,2328,2480,197,328,16816,178,310,732
AMS,FCO,99,321,124,1384,2550,2678,197,21,16816,165,236,800
FCO,AMS,99,321,124,1384,2808,2933,197,0,16816,129,197,917
AMS,FCO,99,321,126,1384,2968,3127,197,0,16816,88,429,974
FCO,AMS,99,321,126,1384,3208,3332,197,0,16816,156,243,1027
AMS,FCO,99,321,152,1384,3387,3513,197,0,16816,135,176,1080
FCO,AMS,99,321,152,1384,3606,3758,197,0,16816,153,235,1165
FCO,VRN,100,32S,345,3384,909,1254,150,12,23181,133,417,199
VRN,FCO,100,32S,345,3384,1320,1631,150,0,23181,142,409,368
FCO,VRN,100,32S,311,3384,1695,2023,150,22,23181,54,632,492
VRN,FCO,100,32S,311,3384,2128,2463,150,0,23181,125,432,662
FCO,VRN,100,32S,328,3384,2569,2878,150,0,23181,39,594,807
VRN,FCO,100,32S,328,3384,3014,3359,150,0,23181,127,368,985
FCO,VRN,100,32S,335,3384,3391,3702,150,0,23181,97,302,1082
VRN,FCO,100,32S,335,3384,3764,4092,150,0,23181,144,465,1200
AUS,MCO,101,E90,772,9188,1255,2027,100,0,40729,84,872,342
MCO,AUS,101,E90,772,9188,2064,2828,100,0,40729,78,778,638
BHX,EDI,102,DH4,418,4385,760,1178,68,0,21127,83,816,165
EDI,BHX,102,DH4,418,4385,1847,2436,68,0,21127,72,721,550
BHX,IST,102,DH4,589,7005,2498,2916,68,0,29534,65,950,785
