DEP,ARR,AC,TYPE,FT,DIS,DET,ART,CAP,DEL,COST,DEM,TIC,Flight
AMS,FRA,64,32A,602,7348,627,1229,151,29,39748,145,586,47
BEY,RUH,119,320,555,6311,628,1183,151,0,35431,98,323,48
RIX,FRA,89,735,132,1511,638,787,108,0,13613,88,240,49
FRA,MLE,100,767,817,9882,643,1460,218,0,59606,201,625,50
AGA,EUN,14,738,1014,12965,688,1702,189,0,69759,159,702,51
DLM,BHX,124,752,211,2213,697,880,200,0,20858,140,151,52
AGA,LYS,82,319,897,11231,697,1594,123,0,51588,89,669,53
FRA,INN,115,DH4,495,5504,701,1196,68,162,24718,37,527,54
AMS,INN,30,73H,623,7382,703,1326,162,0,41101,133,479,55
BEY,DOH,79,320,175,1788,705,880,151,0,16602,49,377,56
FRA,LHR,56,320,395,4387,736,1131,151,0,27421,137,390,57
FRA,GOT,66,32A,916,11448,746,1662,151,29,56816,129,732,58
DLM,DUS,21,757,398,4403,749,1147,200,0,31209,159,282,59
FRA,MAH,69,73H,430,4995,762,1192,162,0,30862,110,277,60
FRA,PDL,123,320,491,5867,767,1258,151,0,33582,96,307,61
DEL,DOH,85,73H,788,9507,774,1562,162,7,50217,141,610,62
DOH,BEY,118,320,184,1788,774,940,151,0,16602,150,268,63
BOS,DFW,71,738,586,6876,775,1361,189,0,41749,93,961,64
BHX,LYS,91,E75,753,9051,781,1534,80,0,37651,18,716,65
DLM,FRA,99,757,379,3878,797,1176,200,0,28727,153,239,66
DUB,FRA,63,320,479,5717,801,1280,151,0,32958,95,282,67
FRA,MRU,101,767,778,9620,812,1590,218,0,58313,92,1040,68
FRA,VIE,58,E90,692,8216,815,1507,100,0,37252,15,997,69
BLQ,LYS,3,32A,507,5593,818,1609,151,0,32442,40,317,70
LED,RIX,97,DH4,541,6380,819,1360,68,0,27528,33,1636,71
CID,DFW,7,ER4,784,9889,819,1603,50,0,36285,21,1034,72
AGP,PIK,25,733,357,3723,821,1350,128,0,23090,79,249,73
DME,DOH,41,320,907,11219,821,1728,151,0,55863,126,700,74
RAK,AGA,31,73H,571,6656,831,1402,162,0,37987,74,454,75
FRU,LED,46,320,389,4033,844,1233,151,0,25947,105,260,76
RUH,TRV,13,77W,544,6596,844,1388,396,0,61400,320,293,77
BOS,MAD,5,313,549,6210,851,1572,195,0,39266,182,466,78
AGA,LYS,125,319,903,11231,861,1764,123,0,51588,121,910,79
MAA,MRU,12,332,822,10228,864,1686,246,0,65315,95,476,80
FRA,RIX,89,735,149,1511,864,1029,108,0,13613,101,266,81
BCN,RIX,18,321,455,5142,868,1520,197,228,34448,147,282,82
FRA,LYS,103,319,547,6224,871,1418,123,0,32356,123,591,83
FRA,VRA,102,767,806,9940,875,1681,218,0,59892,188,563,84
BHX,FRA,112,319,275,2847,884,1159,123,0,19385,125,367,85
PDL,TER,45,DH4,642,7645,923,1565,68,0,31587,67,942,86
FRA,PRG,68,321,423,4801,925,1451,197,26,32848,169,330,87
FCO,RUH,15,319,357,3546,960,1537,123,0,22070,73,242,88
BHX,DLM,124,752,183,2213,967,1187,200,0,20858,141,166,89
INN,LGW,52,319,305,3301,979,1284,123,0,21129,72,229,90
BEG,FMM,53,320,501,5853,999,1500,151,0,33524,26,277,91
DOH,MLE,81,320,485,5675,999,1484,151,0,32783,99,297,92
LIS,FRA,67,321,474,5338,1002,1484,197,0,35368,185,425,93
ALA,FRA,110,333,324,3071,1022,1346,300,13,30975,220,148,94
FRA,HRG,61,757,708,8703,1031,1739,200,0,51533,136,342,95
ALA,IST,33,738,433,4779,1034,1467,189,0,32103,110,842,96
FRA,MAA,59,77W,589,6941,1036,1548,396,0,63808,306,258,97
DEL,RUH,95,77W,386,4323,1040,1426,396,0,45533,213,273,98
DRV,MLE,39,DH3,628,7311,1043,1671,50,286,28547,48,1112,99
DEL,DOH,70,73H,781,9507,1043,1824,162,0,50217,131,569,100
FRA,NBO,62,767,880,10922,1051,1931,218,0,64737,203,696,101
EDI,CFU,27,738,259,2630,1052,1326,189,0,22218,97,247,102
MBJ,DFW,8,738,393,4242,1056,1455,189,0,29633,176,358,103
RIX,DUB,28,738,610,6996,1058,1649,189,0,42301,162,458,104
BEG,OSL,22,733,185,2218,1062,1247,128,0,17223,110,272,105
RUH,FRA,117,333,567,6878,1068,1649,300,0,53346,114,650,106
FRA,DFW,87,777,682,8068,1073,1731,314,0,61993,274,437,107
LED,ALA,108,320,458,5057,1074,1521,151,0,30210,117,350,108
PDL,BOS,122,313,601,6974,1075,1667,195,30,42833,140,331,109
BEY,DOH,118,320,166,1788,1078,1255,151,0,16602,28,292,110
EDI,LYS,127,319,577,6726,1091,1668,123,0,34284,81,416,111
DOH,BEY,79,320,175,1788,1104,1259,151,0,16602,137,235,112
MAH,EDI,35,319,655,8138,1120,1775,123,0,39708,101,589,113
ALA,DEL,78,E90,797,9648,1123,1920,100,0,42374,62,625,114
RUH,DOH,120,777,707,8540,1124,1836,314,0,64842,222,254,115
AGP,LYS,77,320,790,9497,1130,1920,151,0,48694,92,402,116
BLK,DLM,34,73C,703,8686,1132,1835,128,0,42439,74,1548,117
ALA,LHR,16,321,365,3848,1136,1668,197,0,28377,53,212,118
RIX,FRA,89,735,149,1511,1138,1286,108,0,13613,64,185,119
MRU,RUN,10,319,455,5121,1142,1338,123,0,28119,127,542,120
ASB,DEL,49,733,603,6931,1155,1758,128,159,35597,82,390,121
AGP,SEN,51,319,949,12156,1155,2104,123,0,55141,41,1539,122
EDI,FRA,114,321,91,578,1159,1250,197,0,13034,86,131,123
PEW,RUH,38,320,810,9789,1164,1974,151,0,49910,89,748,124
LED,FRA,116,32A,617,7175,1166,1778,151,0,39028,116,450,125
DUS,FRA,65,319,675,8042,1166,1841,123,0,39339,96,556,126
DOH,RUH,80,777,715,8540,1179,1894,314,0,64842,280,477,127
DEL,MRU,94,332,913,11129,1181,2094,246,0,70050,207,575,128
DOH,CAI,37,333,598,7146,1185,1851,300,0,54921,252,372,129
ACE,FRA,60,757,948,11761,1186,2134,200,0,65986,137,450,130
DEL,BHX,92,788,601,6849,1190,1783,242,0,47140,189,340,131
TRF,RIX,55,320,195,2291,1193,1388,151,0,18696,54,449,132
DEL,MRU,73,332,912,11129,1196,2108,246,0,70050,218,627,133
DWC,MLE,29,73H,933,11732,1198,2131,162,0,59761,144,754,134
FRA,DLM,99,757,379,3878,1213,1587,200,20,28727,138,206,135
LED,SKX,2,CR2,706,8457,1220,1926,50,0,31986,19,890,136
ACE,EDI,24,738,791,9955,1222,2013,189,0,55913,134,448,137
BJA,LYS,11,738,783,9517,1235,2018,189,0,53898,85,554,138
BHX,TFS,26,321,928,11390,1238,1838,197,0,63764,142,485,139
RIX,LED,75,DH4,527,6380,1240,1767,68,0,27528,64,798,140
YYZ,PDL,43,313,631,7661,1241,1894,195,0,46041,145,370,141
DOH,MLE,121,320,509,5675,1245,1754,151,0,32783,114,369,142
FRA,BHX,112,319,275,2847,1248,1522,123,0,19385,76,228,143
HOR,PDL,44,DH2,391,4093,1251,1642,37,0,17947,57,1111,144
DFW,BOS,86,738,584,6876,1251,1824,189,0,41749,94,462,145
DEL,FRA,93,788,766,9141,1255,2021,242,0,59080,166,311,146
LYS,BHX,72,788,745,9051,1257,2002,242,0,58612,127,1112,147
TJU,LED,23,320,402,4612,1262,1664,151,0,28358,91,244,148
BHX,EDI,74,752,416,4385,1266,1463,200,0,31124,59,247,149
LED,KGF,47,320,683,8237,1271,1959,151,0,43449,96,392,150
BHX,AGP,104,738,720,8932,1271,2019,189,0,51207,142,442,151
LYS,GOT,4,ER4,91,842,1272,1363,50,0,9130,40,331,152
INN,FRA,115,DH4,495,5504,1274,1756,68,0,24718,40,551,153
EDI,AGP,105,738,616,7099,1274,1892,189,25,42775,146,379,154
BHX,EDI,96,DH4,410,4385,1275,1685,68,0,21127,55,570,155
DLM,BHX,124,752,183,2213,1276,1480,200,0,20858,151,171,156
VRA,CCC,19,320,608,7408,1283,1891,151,0,39998,108,409,157
FRA,AGA,98,32S,627,7757,1283,1921,150,0,41336,134,563,158
DLM,EDI,126,320,791,9637,1288,2079,151,0,49277,123,591,159
HKG,MLE,20,333,347,3838,1291,1638,300,0,35482,212,157,160
EDI,LYS,84,319,556,6726,1305,1861,123,0,34284,96,478,161
LIS,LYS,50,100,728,9109,1312,2040,97,27,40056,86,802,162
DLM,EDI,83,320,788,9637,1312,2100,151,0,49277,107,511,163
PDL,FRA,123,320,491,5867,1315,1821,151,0,33582,143,496,164
FRA,RIX,89,735,165,1511,1318,1473,108,0,13613,78,209,165
FRA,BEY,111,32A,658,8004,1319,1984,151,153,42479,49,451,166
CMN,DOH,40,333,581,7069,1320,1901,300,0,54469,103,302,167
RUH,BEY,119,320,555,6311,1326,1887,151,30,35431,132,467,168
DFW,CDG,6,763,690,8589,1330,2285,218,0,53227,198,548,169
HBE,BEY,36,E70,735,8916,1357,2092,70,0,35921,57,909,170
BHX,BHD,17,DH4,515,6120,1362,1894,68,0,26694,46,853,171
FRA,EDI,114,321,91,578,1366,1465,197,0,13034,167,132,172
DEL,ALA,107,E90,799,9648,1366,2155,100,0,42374,61,610,173
DOH,BEY,118,320,166,1788,1380,1559,151,0,16602,146,244,174
BHX,AGP,76,738,740,8932,1385,1986,189,0,51207,172,588,175
IXB,DEL,1,320,481,5237,1408,1889,151,11,30960,126,395,176
PMI,INN,9,320,921,11766,1410,1960,151,0,58140,50,633,177
BEY,RUH,79,320,552,6311,1435,1987,151,28,35431,128,454,178
FRA,ALA,110,333,324,3071,1441,1760,300,0,30975,224,165,179
LHR,FRA,56,320,395,4387,1443,2020,151,0,27421,146,407,180
RIX,LED,97,DH4,541,6380,1448,1999,68,0,27528,80,914,181
BEY,AMM,32,330,426,4628,1452,1832,277,1,38318,234,288,182
LYS,AGP,106,320,788,9497,1452,2230,151,0,48694,150,757,183
LYS,FRA,103,319,547,6224,1464,2002,123,0,32356,50,472,184
TRV,RUH,13,77W,544,6596,1468,2046,396,0,61400,316,276,185
CFU,FRA,27,738,478,5535,1479,1957,189,23,35581,126,263,186
FRA,DOH,90,333,907,11331,1483,2391,300,24,79514,268,610,187
INN,AMS,30,73H,623,7382,1484,2045,162,0,41101,121,419,188
AGA,RAK,31,73H,571,6656,1494,2065,162,0,37987,129,415,189
DFW,BOS,71,738,586,6876,1509,2103,189,26,41749,146,384,190
RIX,FRA,89,735,165,1511,1522,1654,108,0,13613,90,248,191
FRA,BEG,88,319,879,10994,1546,2438,123,0,50678,88,659,192
RUH,DEL,95,77W,386,4323,1555,1958,396,0,45533,330,234,193
EDI,FRA,114,321,99,578,1557,1656,197,19,13034,182,158,194
RUN,MRU,10,319,455,5121,1557,2012,123,0,28119,80,329,195
RIX,BCN,18,321,455,5142,1557,2012,197,0,34448,64,572,196
BHX,FRA,112,319,274,2847,1558,1828,123,0,19385,48,286,197
BHX,DLM,124,752,220,2213,1559,1771,200,0,20858,188,250,198
PRG,FRA,68,321,423,4801,1567,1990,197,14,32848,165,324,199
ALA,LED,108,320,447,5057,1568,2015,151,0,30210,124,374,200
FRA,AGP,109,321,1040,12935,1574,2595,197,0,71013,140,538,201
FRA,BOS,113,744,955,11953,1578,2533,416,0,102050,352,524,202
PMI,FRA,57,320,955,12077,1579,2553,151,0,59435,140,833,203
PDL,ORY,42,320,474,5558,1583,2056,151,0,32296,95,287,204
MLE,FRA,100,767,817,9882,1600,2401,218,0,59606,179,514,205
FRA,OSL,67,321,942,11538,1626,2568,197,0,64458,181,718,206
PIK,AGP,25,733,357,3723,1631,1988,128,0,23090,75,863,207
DLM,FRA,99,757,374,3878,1643,1994,200,0,28727,173,287,208
RUH,MED,48,E70,399,4178,1646,2011,70,0,20610,28,379,209
LYS,BHX,91,E75,753,9051,1667,2395,80,0,37651,74,924,210
LED,FRU,46,320,389,4033,1669,2063,151,0,25947,136,355,211
MAA,FRA,59,77W,589,6941,1674,2263,396,0,63808,331,335,212
OSL,BEG,22,733,185,2218,1678,2490,128,0,17223,104,245,213
MRU,FRA,101,767,778,9620,1680,2445,218,0,58313,199,604,214
DOH,DEL,85,73H,788,9507,1685,2445,162,0,50217,147,658,215
TER,PDL,45,DH4,642,7645,1690,2345,68,0,31587,41,713,216
VIE,FRA,58,E90,692,8216,1691,2122,100,0,37252,107,849,217
GOT,LYS,4,ER4,91,842,1701,1792,50,0,9130,12,244,218
BEY,DOH,118,320,177,1788,1704,1882,151,0,16602,124,215,219
FRA,RIX,89,735,148,1511,1707,1839,108,0,13613,115,308,220
LYS,BLQ,3,32A,507,5593,1726,2233,151,0,32442,101,314,221
LYS,AGA,82,319,897,11231,1727,2645,123,0,51588,47,725,222
DUS,DLM,21,757,398,4403,1742,2026,200,0,31209,59,474,223
DUB,RIX,28,738,591,6996,1743,2353,189,0,42301,134,343,224
VRA,FRA,102,767,806,9940,1745,2555,218,0,59892,122,1335,225
MAD,BOS,5,313,549,6210,1759,2308,195,0,39266,102,911,226
DOH,DME,41,320,907,11219,1760,2451,151,0,55863,93,466,227
FRA,AMS,64,32A,602,7348,1768,2370,151,0,39748,120,465,228
EUN,AGA,14,738,1014,12965,1770,2798,189,0,69759,151,664,229
FRA,EDI,114,321,99,578,1771,1840,197,0,13034,150,118,230
MLE,DOH,121,320,509,5675,1786,2293,151,0,32783,128,424,231
FRA,RUH,117,333,581,6878,1786,2352,300,10,53346,242,330,232
BOS,PDL,122,313,592,6974,1792,2394,195,0,42833,127,269,233
GOT,FRA,66,32A,916,11448,1804,2370,151,0,56816,125,710,234
DFW,FRA,87,777,658,8068,1808,2463,314,5,61993,253,361,235
LYS,EDI,127,319,577,6726,1809,2377,123,0,34284,72,371,236
ALA,FRA,110,333,319,3071,1816,2132,300,0,30975,224,161,237
DLM,BHX,124,752,220,2213,1828,2030,200,0,20858,114,251,238
EDI,GVA,35,319,460,5380,1832,2292,123,22,29114,61,1000,239
EDI,BHX,96,DH4,410,4385,1834,2243,68,0,21127,77,685,240
FRA,INN,115,DH4,482,5504,1837,2328,68,0,24718,27,467,241
MRU,MAA,12,332,822,10228,1846,2668,246,0,65315,209,529,242
RIX,LTN,54,320,1039,13033,1848,2887,151,0,63414,101,587,243
LYS,AGA,125,319,903,11231,1856,2738,123,29,51588,76,574,244
MAH,FRA,69,73H,430,4995,1859,2208,162,0,30862,120,305,245
HRG,FRA,61,757,708,8703,1864,2694,200,0,51533,172,524,246
FRA,LED,116,32A,612,7175,1867,2484,151,0,39028,139,553,247
LGW,INN,52,319,305,3301,1869,2195,123,0,21129,69,215,248
FRA,DUB,63,320,479,5717,1873,2352,151,0,32958,124,410,249
RUH,FCO,15,319,357,3546,1882,2239,123,0,22070,78,257,250
DOH,RUH,120,777,712,8540,1896,2610,314,0,64842,76,269,251
BHX,DEL,92,788,593,6849,1911,2511,242,0,47140,178,303,252
FRA,BHX,112,319,274,2847,1914,2198,123,0,19385,68,334,253
IST,ALA,33,738,433,4779,1915,2326,189,0,32103,65,572,254
TFS,BHX,26,321,928,11390,1920,2848,197,0,63764,181,709,255
EDI,FRA,114,321,99,578,1920,2008,197,0,13034,130,95,256
RIX,FRA,89,735,148,1511,1922,2071,108,0,13613,70,185,257
CAI,FRA,37,333,666,8190,1942,2540,300,0,61056,227,310,258
DOH,DEL,70,73H,781,9507,1943,2706,162,0,50217,148,661,259
BOS,DFW,86,738,573,6876,1943,2521,189,0,41749,133,317,260
AGP,EDI,105,738,618,7099,1945,2543,189,0,42775,64,761,261
DFW,CID,7,ER4,784,9889,1946,2730,50,0,36285,33,3208,262
FRA,PDL,123,320,506,5867,1967,2480,151,0,33582,58,817,263
SKX,LED,2,CR2,706,8457,1970,2662,50,0,31986,61,1382,264
AGA,FRA,98,32S,638,7757,1988,2619,150,0,41336,124,505,265
EDI,BHX,74,752,416,4385,2003,2419,200,249,31124,137,211,266
DOH,BEY,118,320,177,1788,2005,2160,151,0,16602,27,281,267
PDL,YYZ,43,313,653,7661,2013,2644,195,339,46041,142,368,268
DEL,RUH,95,77W,403,4323,2020,2420,396,0,45533,120,333,269
BEY,RUH,119,320,561,6311,2022,2579,151,0,35431,134,481,270
KGF,LED,47,320,688,8237,2024,2707,151,0,43449,119,507,271
FMM,BEG,53,320,501,5853,2035,2561,151,4,33524,45,336,272
LYS,EDI,84,319,556,6726,2041,2597,123,0,34284,90,460,273
LHR,ALA,16,321,365,3848,2043,2408,197,0,28377,81,270,274
DFW,MBJ,8,738,399,4242,2045,2438,189,0,29633,132,237,275
FRA,DLM,99,757,374,3878,2050,2433,200,0,28727,168,288,276
AGP,BHX,104,738,748,8932,2054,2774,189,0,51207,148,474,277
FRA,EDI,114,321,99,578,2062,2150,197,0,13034,171,145,278
MLE,DOH,81,320,485,5675,2064,2549,151,0,32783,129,424,279
LED,ALA,108,320,447,5057,2069,2500,151,0,30210,101,287,280
BHX,DEL,72,788,601,6849,2069,2670,242,0,47140,94,353,281
NBO,FRA,62,767,880,10922,2073,2860,218,0,64737,166,484,282
FRA,LYS,103,319,538,6224,2075,2600,123,0,32356,92,442,283
INN,VIE,9,320,550,6431,2081,3002,151,28,35930,123,436,284
EDI,ACE,24,738,791,9955,2090,2906,189,0,55913,131,423,285
RUH,PEW,38,320,810,9789,2102,2912,151,0,49910,120,591,286
LYS,BJA,11,738,783,9517,2102,2873,189,0,53898,125,374,287
BEY,FRA,111,32A,665,8004,2112,2776,151,0,42479,113,458,288
PDL,HOR,44,DH2,391,4093,2132,2513,37,0,17947,24,965,289
DEL,ALA,78,E90,797,9648,2136,2566,100,0,42374,50,530,290
LED,RIX,97,DH4,551,6380,2143,2670,68,0,27528,44,643,291
BHX,DLM,124,752,204,2213,2151,2362,200,0,20858,53,317,292
RUH,DOH,80,777,715,8540,2156,2843,314,0,64842,240,324,293
DOH,CMN,40,333,581,7069,2157,2802,300,0,54469,215,237,294
MRU,DEL,94,332,913,11129,2158,3032,246,0,70050,202,531,295
FRA,DEL,93,788,766,9141,2160,2905,242,0,59080,171,345,296
SEN,AGP,51,319,949,12156,2161,3110,123,0,55141,75,2133,297
DLM,EMA,21,757,284,2583,2161,2559,200,0,22606,175,243,298
RUH,BEY,79,320,552,6311,2164,2339,151,0,35431,91,533,299
LYS,GOT,4,ER4,91,842,2165,2256,50,0,9130,20,264,300
BOS,PDL,71,738,584,6974,2200,2784,189,0,42200,104,1049,301
RUH,TRV,13,77W,578,6596,2210,2754,396,0,61400,312,268,302
BCN,FRA,18,321,652,7734,2216,2868,197,0,46610,169,468,303
FRA,RIX,89,735,155,1511,2220,2385,108,0,13613,65,187,304
FRA,CFU,27,738,478,5535,2223,2482,189,0,35581,175,429,305
AGP,EDI,76,738,601,7099,2223,2963,189,0,42775,154,417,306
EDI,DLM,126,320,791,9637,2225,2991,151,0,49277,115,547,307
MLE,HKG,20,333,347,3838,2229,2603,300,0,35482,240,208,308
MRU,NBO,10,319,196,2084,2231,2691,123,0,16454,117,288,309
BEY,DOH,118,320,179,1788,2236,2420,151,0,16602,108,183,310
EDI,FRA,114,321,69,578,2237,2328,197,18,13034,163,138,311
MLE,DRV,39,DH3,628,7311,2247,2875,50,0,28547,57,1188,312
FRA,IST,68,321,526,5830,2248,2661,197,0,37676,181,422,313
MRU,DEL,73,332,912,11129,2253,2630,246,0,70050,142,656,314
FRA,DUS,65,319,675,8042,2256,2931,123,0,39339,75,435,315
BHX,FRA,112,319,270,2847,2263,2563,123,0,19385,69,203,316
FRA,ALA,110,333,319,3071,2267,2554,300,0,30975,261,231,317
ALA,DEL,107,E90,789,9648,2269,3068,100,0,42374,78,731,318
BHX,EDI,96,DH4,409,4385,2280,2694,68,135,21127,73,659,319
FCO,FRA,15,319,577,6837,2282,2859,123,21,34711,69,1282,320
MED,RUH,48,E70,365,4178,2283,2682,70,0,20610,63,571,321
FRA,YYZ,58,E90,431,5032,2288,2980,100,0,25865,44,1014,322
AMS,VRA,30,73H,561,6515,2310,2933,162,0,37382,114,351,323
AGP,NCL,25,733,529,5963,2313,2842,128,0,31823,111,480,324
FRU,LED,46,320,394,4033,2323,2712,151,8,25947,97,247,325
CDG,FRA,6,763,955,11946,2335,3025,218,0,69789,184,637,326
DOH,MLE,121,320,507,5675,2338,2833,151,0,32783,94,501,327
FRA,HKG,59,77W,512,5663,2343,2924,396,0,54887,334,289,328
DLM,BLK,34,73C,703,8686,2354,3057,128,0,42439,95,539,329
AGP,LYS,106,320,778,9497,2358,3146,151,0,48694,126,608,330
DEL,ASB,49,733,603,6931,2365,2798,128,0,35597,110,537,331
FRA,TGD,69,73H,349,3862,2367,2797,162,0,26002,104,220,332
BOS,LIS,5,313,721,8504,2375,3096,195,0,49976,131,339,333
BHD,BHX,17,DH4,532,6120,2378,2893,68,0,26694,55,703,334
BLQ,FRA,3,32A,791,9752,2379,2870,151,0,49756,122,599,335
INN,FRA,115,DH4,482,5504,2399,2894,68,0,24718,60,692,336
FRA,EDI,114,321,69,578,2420,2519,197,0,13034,150,109,337
EDI,LYS,127,319,568,6726,2435,3026,123,0,34284,48,501,338
PDL,BOS,122,313,592,6974,2439,3040,195,0,42833,72,783,339
RIX,FRA,89,735,155,1511,2447,2595,108,0,13613,66,179,340
AMM,FRA,32,330,380,4183,2454,2880,277,0,35821,193,168,341
GVA,EDI,35,319,460,5380,2456,3111,123,0,29114,74,311,342
BEY,DOH,79,320,155,1788,2464,2619,151,0,16602,146,258,343
RIX,DUB,28,738,591,6996,2471,3062,189,13,42301,135,335,344
BEG,FRA,88,319,892,10994,2476,3355,123,0,50678,121,907,345
DME,FRA,41,320,691,8555,2481,3388,151,0,44773,50,479,346
ORY,PDL,42,320,473,5558,2483,2957,151,0,32296,122,395,347
RUH,FRA,117,333,581,6878,2489,3056,300,0,53346,143,375,348
DOH,FRA,90,333,908,11331,2492,3399,300,0,79514,233,454,349
DLM,BHX,124,752,204,2213,2492,2675,200,0,20858,175,216,350
FRA,MLE,100,767,801,9882,2494,3311,218,0,59606,181,532,351
FRA,GVA,66,32A,566,6523,2500,3416,151,3,36313,51,818,352
FRA,DFW,87,777,658,8068,2504,3186,314,0,61993,248,343,353
PDL,TER,45,DH4,655,7645,2506,3148,68,0,31587,39,2007,354
BHX,LYS,91,E75,728,9051,2508,3261,80,0,37651,35,1820,355
DEL,DOH,85,73H,760,9507,2516,3304,162,0,50217,104,417,356
RUH,DEL,95,77W,403,4323,2517,2915,396,24,45533,331,235,357
PDL,FRA,123,320,506,5867,2517,3008,151,0,33582,100,326,358
FRA,MRU,101,767,765,9620,2522,3300,218,0,58313,153,376,359
FRA,ACE,60,757,948,11761,2537,3485,200,27,65986,175,674,360
DOH,BEY,118,320,179,1788,2548,2714,151,0,16602,93,547,361
CFU,EDI,27,738,274,2630,2552,2826,189,0,22218,121,162,362
DLM,FRA,99,757,351,3878,2560,2939,200,0,28727,162,263,363
INN,LGW,52,319,326,3301,2564,2869,123,0,21129,109,342,364
DEL,BHX,92,788,593,6849,2565,3166,242,0,47140,200,369,365
ALA,FRA,110,333,316,3071,2585,2901,300,328,30975,109,171,366
BHX,DLM,74,752,197,2213,2592,2789,200,0,20858,88,429,367
OSL,FRA,67,321,942,11538,2599,3073,197,0,64458,187,751,368
EDI,DLM,83,320,788,9637,2602,3390,151,0,49277,96,436,369
LYS,AGP,77,320,790,9497,2609,3399,151,0,48694,128,612,370
EDI,FRA,114,321,88,578,2610,2709,197,0,13034,148,114,371
LED,FRA,116,32A,612,7175,2614,3231,151,0,39028,132,509,372
ALA,LED,108,320,447,5057,2635,3093,151,0,30210,91,453,373
FRA,BHX,112,319,270,2847,2637,2916,123,0,19385,100,290,374
RUH,BEY,119,320,561,6311,2638,3193,151,0,35431,109,382,375
RUH,DOH,120,777,712,8540,2640,3347,314,0,64842,128,386,376
ALA,PRG,33,738,411,4721,2644,3077,189,0,31836,176,385,377
FRA,RIX,89,735,132,1511,2648,2803,108,0,13613,73,201,378
FRA,VRA,102,767,810,9940,2648,3454,218,0,59892,151,368,379
BOS,FRA,113,744,955,11953,2660,3615,416,0,102050,303,317,380
DFW,BOS,86,738,573,6876,2662,3246,189,0,41749,150,385,381
EDI,AGP,105,738,618,7099,2665,3281,189,0,42775,159,443,382
AGP,FRA,109,321,1021,12935,2671,3711,197,0,71013,167,706,383
AGA,LYS,82,319,918,11231,2675,3572,123,15,51588,78,591,384
MLE,DWC,29,73H,933,11732,2681,3614,162,0,59761,150,806,385
FRA,MAD,56,320,577,6733,2682,3077,151,0,37188,55,417,386
